City,Country_Code,IATA,Latitude,Longitude,Altitude
Egegik,US,BSZ,58.2162017822,-157.352005005,50
Boswell Bay,US,BSW,60.4230995178,-146.145996094,230
ZaKouma,TD,AKM,10.8902777778,19.8172222222,1370
Tuskegee,US,TGE,32.4919013977,-85.7755966187,253
Puerto Peñasco,MX,PPE,31.351987,-113.305177,71
Alto Molocue,MZ,AME,-15.6102777778,37.6813888889,1950
,PG,AMF,-4.10111111111,141.67,145
Amanab,PG,AMU,-3.586,141.214333333,1307
,MG,AMY,-17.6866666667,45.623888888900005,1025
Anhua Island,SB,ANH,-9.00138888889,160.225,22
Yaren District,NR,INU,-0.547458,166.919006,22
Angus Downs Station,AU,ANZ,-25.0325,132.2748,1724
Cangamba,AO,CNZ,-13.7106,19.861099,3894
Dirico,AO,DRC,-17.981924057006836,20.7680606842041,3504
Lumbala,AO,GGC,-12.6398773193,22.5868206024,3510
Jamba,AO,JMB,-14.698192596435547,16.070148468017578,4912
Capanda,AO,KNP,-9.76937007904,15.4553194046,3366
Ndalatandos,AO,NDF,-9.275188446044922,14.977242469787598,2684
Agevairu,PG,AOA,-9.0254,146.8,20
,PG,AOB,-4.90416666667,144.635833333,130
Abou-Deïa,TD,AOD,11.4773,19.2874,1592
,PG,APP,-8.97916666667,148.103611111,1930
April River,PG,APR,-4.67666666667,142.540138889,220
Girdwood,US,AQY,60.966099,-149.126007,150
Bragado,AR,QRF,-35.144,-60.4803,196
Caleta Olivia,AR,CVI,-46.4318008423,-67.5186004639,37
Charata,AR,CNT,-27.2164,-61.2103,318
General Villegas,AR,VGS,-35,-63,383
Los Menucos,AR,LMD,-40.817699,-68.074699,2571
Presidencia Roque Sáenz Peña,AR,SZQ,-26.815799713134766,-60.448299407958984,20
Valcheta,AR,VCF,-40.7000007629,-66.1500015259,629
Sunchales,AR,NCJ,-30.9575,-61.5283,311
Carmen de Patagones,AR,CPG,-40.7781,-62.9803,131
Presidencia Roque Sáenz Peña,AR,PRQ,-26.753611,-60.492222,308
Sarmiento,AR,OLN,-45.582371,-68.999841,877
,PG,ARP,-9.88333333333,149.483333333,1750
Asbury Park,US,ARX,40.2193055556,-74.0908333333,95
Tau Village,AS,TAV,-14.2292003632,-169.511001587,185
,PG,ASZ,-6.009722222220001,150.368611111,1050
Namatanai,PG,ATN,-3.6695,152.438,150
Aitape,PG,ATP,-3.1436111111100002,142.346805556,10
Lady Elliot Island,AU,LYT,-24.1129,152.7156,20
Baniyala,AU,BYX,-13.19810009,136.227005005,20
Orchid Beach,AU,OKB,-24.959400177002,153.31500244141,71
Peppimenarti,AU,PEP,-14.144200325,130.091003418,83
Tom Price,AU,TPR,-22.746000289900003,117.869003296,2300
Aua Island,PG,AUI,-1.46055555556,143.064722222,4
Ambunti,PG,AUJ,-4.21566666667,142.823166667,50
,PG,AUP,-9.930833,149.385667,3200
Aumo,PG,AUV,-5.731111111110001,148.445277778,450
Wonga Wongué Presidential Reserve,GA,AWE,-0.545,9.444,600
Awar,PG,AWR,-4.124,144.853,35
Bayanhot,CN,AXF,38.74831,105.58858,4560
,PG,KPM,-5.38166666667,143.924722222,5100
Buka Island,PG,BUA,-5.4223198890686035,154.67300415039062,11
Biaru,PG,BRP,-7.6693,146.7594,4900
Kundiawa,PG,CMU,-6.024290084838867,144.9709930419922,4974
Munduku,PG,MDM,-4.6204,143.4516,100
Kondobol,PG,KPF,-8.5336,142.5049,132
Dinangat,PG,DNU,-6.1546,146.6772,5309
Castori Islets,PG,DOI,-10.7009,150.7218,31
Daru,PG,DAU,-9.08675956726,143.207992554,20
Embessa,PG,EMS,-9.447,148.7628,131
Yellow River Mission,PG,XYR,-3.883986,141.792234,190
Eliptamin,PG,EPT,-5.0412,141.6779,4825
Engati,PG,EGA,-6.9179,146.1053,3715
Emo Mission,PG,EMO,-9.1234,148.0415,2240
Erume,PG,ERU,-8.2538,146.9747,6690
Demgulu,PG,MFZ,-6.1364,149.1183,180
Feramin,PG,FRQ,-5.208,141.6988,4655
Frieda River,PG,FAQ,-4.610468,141.960138,217
Fuma,PG,FUM,-6.3933,142.4408,466
Goronka,PG,GKA,-6.081689834590001,145.391998291,5282
Guari,PG,GUG,-8.1286,146.8722,6450
Au,PG,GRL,-7.980713,147.213461,2539
Gurney,PG,GUR,-10.3114995956,150.333999634,88
Gusap,PG,GAP,-6.053196,145.959047,1504
Popondetta,PG,PNP,-8.80453968048,148.309005737,311
Gasuke,PG,GBC,-6.1028,141.7393,157
Habi,PG,HBD,-6.32,142.4893,993
Heiweni,PG,HNI,-7.4223,146.4276,3480
Honinabi,PG,HNN,-16.2457,142.1771,452
Hoskins,PG,HKN,-5.462170124053955,150.40499877929688,66
Haivaro,PG,HIT,-6.9406,143.059,180
Imane,PG,IMN,-6.7524,146.1072,3860
Kungim,PG,KGM,-5.671,141.03,349
Imonda,PG,IMD,-3.328,141.1573,990
Ialibu,PG,IAL,-6.2782,143.9944,6736
Garove Island,PG,WIU,-4.689522,149.440112,25
Yongai,PG,KGH,-8.5289,147.4603,6500
Losuia,PG,LSA,-8.505820274353027,151.08099365234375,27
Kopiago,PG,KPA,-5.3883,142.4977,4445
Kiunga,PG,UNG,-6.1257100105285645,141.28199768066406,88
Kanainj,PG,KNE,-5.2903,144.7072,4064
Kikori,PG,KRI,-7.424379825592041,144.2500762939453,50
Kerema,PG,KMA,-7.96361017227,145.770996094,10
Kar Kar Island,PG,KRX,-4.557,145.9404,130
Kieta,PG,KIE,-6.305417,155.728139,20
Kuri,PG,KUQ,-7.135083,143.276111,35
Kavieng,PG,KVG,-2.57940006256,150.807998657,7
Londolovit,PG,LNV,-3.04361009598,152.628997803,167
Lab Lab Mission,PG,LAB,-5.7204,148.0566,160
Lowai,PG,LWI,-6.3344,146.6458,2900
Leron Plains,PG,LPN,-6.3917,146.3434,680
Lese,PG,LNG,-8.2799,146.2765,40
Long Island,PG,LSJ,-5.3604,147.0177,116
Abu Dhabi,AE,AYM,24.467,54.6103,0
Manari,PG,MRM,-9.1908,147.6219,2630
Morobe,PG,OBM,-7.74,147.59,8
Madang,PG,MAG,-5.20707988739,145.789001465,20
Mount Hagen,PG,HGU,-5.826789855957031,144.29600524902344,5388
Mougulu,PG,GUV,-6.280859,142.420775,825
Mendi,PG,MDU,-6.14774,143.656998,5680
Manus Island,PG,MAS,-2.06189,147.423996,12
Moro,PG,MXH,-6.36332988739,143.238006592,2740
Misima Island,PG,MIS,-10.689200401299999,152.837997437,26
Marawaka,PG,MWG,-6.9736,145.8849,6050
Gwarawon,PG,NKN,-5.837,146.4533,5800
Negarbo,PG,GBF,-6.567778,144.703058,4500
Manguna,PG,MFO,-5.577778,151.792333,187
Kasonombe,PG,KSB,-6.3819,146.9859,5800
Namane,PG,NMN,-6.32183,145.070667,6032
Nambaiyufa,PG,NBA,-6.2412,145.2424,5550
Lae,PG,LAE,-6.569803,146.725977,239
Konge,PG,KGB,-6.2239,147.2152,5900
Oksapmin,PG,OKP,-5.2261,142.2259,5140
Komako,PG,HOC,-7.3984,145.8827,3960
Komaio,PG,KCJ,-7.2714,143.5952,28
Koroba,PG,KDE,-5.6952,142.7441,5638
Maitanakunai,PG,OPB,-4.794727,151.696195,33
Pangoa,PG,PGB,-7.0226,141.5605,60
Pangia,PG,PGN,-6.386,144.1084,5340
Mapoda,PG,MPF,-7.979,143.1694,45
Pumani,PG,PMN,-9.7469,149.4766,427
Port Moresby,PG,POM,-9.443380355834961,147.22000122070312,146
Sopu,PG,SPH,-8.3038,147.1659,6580
Sialum,PG,SXA,-6.0908,147.5955,170
,PG,RMN,-5.89722222222,141.271666667,160
Karimui,PG,KMR,-6.4921,144.823,3640
Maramuni,PG,MWI,-5.13,143.4829,5160
May River,PG,MRH,-4.3615,141.785,107
,PG,SBE,-6.10444444444,142.278333333,465
Simberi Island,PG,NIS,-2.66222222222,151.997777778,10
Sila Mission,PG,SIL,-9.07355555556,148.38925,2230
Sabah,PG,SBV,-5.5765,155.0489,10
Simbai,PG,SIM,-5.278611111110001,144.544722222,5804
Selbang,PG,SBC,-5.315,141.752,5130
Sepik Plains,PG,SPV,-3.8821,143.6734,230
Sauren,PG,SXW,-5.9701,148.8543,46
Masa,PG,MBV,-6.345,147.591,5900
Tari,PG,TIZ,-5.84499979019,142.947998047,5500
Tabubil,PG,TBG,-5.27861,141.225998,1570
Tapini,PG,TPI,-8.35666666667,146.989166667,3100
Tokua,PG,RAB,-4.34045982361,152.380004883,32
Tekin,PG,TKW,-5.24366666667,142.165194444,5785
Teptep,PG,TEP,-5.9553,146.5595,7011
Tsewi,PG,TSW,-7.0695,146.1272,4185
Tarakbits,PG,TRJ,-5.614,141.0421,281
Tawa,PG,TWY,-7.4463,146.1067,5020
Tekadu,PG,TKB,-7.6808,146.5503,1310
Aiyura Valley,PG,AYU,-6.33805555556,145.904166667,5355
Umba,PG,UMC,-7.0214,145.966,5950
Uroubi,PG,URU,-9.5162,148.5591,481
Upiara,PG,UPR,-8.5411,142.6503,52
Uvol,PG,UVO,-6.0178,150.9557,15
Talasea,PG,TLW,-5.2726,150.0089,44
Torembi,PG,TCJ,-4.0165,143.1329,90
Vanimo,PG,VAI,-2.6926,141.3028,10
Tonu,PG,TON,-6.6552,155.4326,300
Wabo,PG,WAO,-6.98944444444,145.075111111,132
,PG,WBM,-5.6433000564575195,143.89500427246094,5889
Wavoi Falls,PG,WAJ,-6.9523,142.6557,370
Wewak,PG,WWK,-3.58383011818,143.669006348,19
Wonenara,PG,WOA,-6.796861111110001,145.891944444,5028
Wakunai,PG,WKN,-5.8603,155.2223,20
Wasu,PG,WSU,-5.96170944919,147.19822526,34
Fatima Mission,PG,WTP,-8.54583333333,147.2525,5200
Wau,PG,WUG,-7.345555555560001,146.718611111,3600
Yeva,PG,YVD,-7.548,146.188,4510
Sim,PG,SMJ,-7.75,146.9273,5460
Weam,PG,WEP,-8.6184,141.1381,50
Yalumet,PG,KYX,-6.09,147.0117,2600
Yasuru,PG,KSX,-6.6015,146.1813,1520
Wasum,PG,WUM,-6.0491,149.337,175
Baku,AZ,ZXT,40.4955422161,49.9768066406,36
Supai Village,US,HAE,36.191600799599996,-113.092002869,1720
,PG,AZB,-10.2991666667,149.338333333,12
Unea Island,PG,BAJ,-4.8833333333299995,149.133333333,90
Nabai,PG,BAP,-10.3432,149.6414,15
Branson,US,BKG,36.532082,-93.200544,1302
Crestone,US,BCJ,37.964777777799995,-105.776666667,7620
Bambu,PG,BCP,-5.863611111110001,146.4925,6790
Bickerton Island,AU,BCZ,-13.780833333299999,136.201666667,85
Willmar,US,ILL,45.11769867,-95.13040161,1126
,PG,BDZ,-6.34722222222,146.942222222,4400
Bereina Mission,PG,BEA,-8.64,146.5083,58
Berlin,DE,BER,52.351388888900004,13.493888888899999,157
Haskovo,BG,HKV,41.871799469,25.6047992706,600
Yambol,BG,JAM,42.4548988342,26.3521995544,509
Aasiaat,GL,JEG,68.7218017578,-52.7846984863,74
Qaasuitsup,GL,AOQ,72.88703,-55.596287,42
Tasiilaq,GL,AGM,65.612296,-37.618335,24
Alluitsup Paa,GL,LLU,60.46445,-45.56917,54
Attu,GL,QGQ,67.9406628551,-53.6218696833,32
Narsarsuaq,GL,UAK,61.1604995728,-45.4259986877,112
Qasigiannguit,GL,JCH,68.822815547,-51.1734473705,70
Neerlerit Inaat,GL,CNP,70.7431030273,-22.6504993439,45
Pituffik,GL,DUN,76.525,-68.8,200
Eqalugaarsuit,GL,QFG,60.6197196536,-45.9140619636,9
Nuuk,GL,GOH,64.19090271,-51.6781005859,283
Qeqertarsuaq Airport,GL,JGO,69.251181993,-53.5148763657,9
Iginniarfik,GL,QFI,68.1472255861,-53.1735277176,50
Ikerassaarsuk,GL,QRY,68.14088100629999,-53.4414589405,165
Ilimanaq,GL,XIQ,69.0809150007,-51.1143153906,52
Innarsuit,GL,IUI,73.199895,-56.010817,95
Isortoq,GL,IOQ,65.547792,-38.976552,92
Ikamiut,GL,QJI,68.6342530984,-51.8322622776,49
Qaqortoq,GL,JJU,60.715684155299996,-46.0299186409,53
Ilulissat,GL,JAV,69.2432022095,-51.0570983887,95
Kangaatsiaq,GL,QPW,68.3126574861,-53.4602075815,17
Kulusuk,GL,KUS,65.573600769,-37.1236000061,117
Kuummiut,GL,KUZ,65.863935,-36.997919,89
Kullorsuaq,GL,KHQ,74.57805,-57.226828,148
Kangersuatsiaq,GL,KGQ,72.381092,-55.536586,112
Kitsissuarsuit,GL,QJE,68.85792599759999,-53.123295307199996,18
Maniitsoq,GL,JSU,65.4124984741,-52.9393997192,91
Nanortalik,GL,JNN,60.141883975899994,-45.232976675,17
Narsaq,GL,JNS,60.9172827256,-46.059923172,83
Niaqornat,GL,NIQ,70.789385,-53.662945,10
Nuussuaq,GL,NSQ,74.109853,-57.065037,184
Bongo,GA,BGP,-2.1713,10.2088,120
Paamiut,GL,JFR,62.0147361755,-49.6709365845,120
Qeqertaq,GL,QQT,69.9958611087,-51.3009166718,69
Qaanaaq,GL,NAQ,77.4886016846,-69.3887023926,51
Ittoqqortoormiit,GL,OBY,70.4882288244,-21.971679925900002,238
Kangerlussuaq,GL,SFJ,67.0122218992,-50.7116031647,165
Siorapaluk,GL,SRK,77.786517,-70.638657,102
Sisimiut,GL,JHS,66.9513015747,-53.7293014526,33
Savissivik,GL,SVR,76.018613,-65.117683,24
Upernavik,GL,TQA,73.373055,-56.06028,181
Thule,GL,THU,76.5311965942,-68.7032012939,251
Tiniteqilaaq,GL,TQI,65.892027,-37.783409,15
Upernavik,GL,JUV,72.7901992798,-56.1305999756,414
Uummannaq,GL,UMD,70.6804279261,-52.111630439799995,50
Uummannaq,GL,JQA,70.7341995239,-52.6962013245,289
Ukkusissat,GL,JUK,71.049438,-51.890016,223
Bahía de los Ángeles,MX,BHL,28.9786,-113.560997,34
,AU,BHT,-23.3638888889,141.562777778,390
Akureyri,IS,AEY,65.66000366210938,-18.07270050048828,6
Bildudalur,IS,BIU,65.64129638671875,-23.546199798583984,18
Borgarfjörður eystri,IS,BGJ,65.51640319824219,-13.805000305175781,80
Bakkafjörður,IS,BJD,66.02189636230469,-14.824399948120117,14
Blönduós,IS,BLO,65.6449966430664,-20.287500381469727,131
Búðardalur,IS,BQD,65.07530212402344,-21.80030059814453,131
Breiðdalsvík,IS,BXV,64.79000091552734,-14.02280044555664,8
Djúpivogur,IS,DJU,64.64420318603516,-14.28279972076416,9
Egilsstaðir,IS,EGS,65.2833023071289,-14.401399612426758,76
Fáskrúðsfjörður,IS,FAS,64.9317016602,-14.0606002808,15
Fagurhólsmýri,IS,FAG,63.874698638916016,-16.64109992980957,56
Grundarfjörður,IS,GUU,64.99140167236328,-23.224700927734375,17
Gjögur,IS,GJR,65.99530029296875,-21.326900482177734,83
Grímsey,IS,GRY,66.5458,-18.0173,66
Hólmavík,IS,HVK,65.70469665527344,-21.696399688720703,90
Höfn,IS,HFN,64.295601,-15.2272,24
Flateyri,IS,FLI,66.0141804294,-23.4416913986,10
Húsavík,IS,HZK,65.952301,-17.426001,48
Hvammstangi,IS,HVM,65.26640319824219,-20.846900939941406,164
Onundarfjörður,IS,HLO,66.05000305175781,-23.69610023498535,70
Ísafjörður,IS,IFJ,66.05809783935547,-23.135299682617188,8
Biliau,PG,BIJ,-5.578,146.339,50
Reykjavík,IS,KEF,63.985000610352,-22.605600357056,171
Kópasker,IS,OPA,66.31079864501953,-16.466699600219727,20
Sauðárkrókur,IS,SAK,65.73169708249999,-19.572799682599996,8
Norðfjörður,IS,NOR,65.13189697265625,-13.746399879455566,13
Ólafsfjörður,IS,OFJ,66.08329772949219,-18.66670036315918,32
Patreksfjörður,IS,PFJ,65.555801,-23.965,11
Reykhólar,IS,RHA,65.45262908935547,-22.20611572265625,60
Rif,IS,OLI,64.9113998413,-23.8230991364,18
Raufarhöfn,IS,RFN,66.40640258789062,-15.918299674987793,39
Reykjavik,IS,RKV,64.1299972534,-21.9405994415,48
Myvatn,IS,MVA,65.65579986572266,-16.918100357055664,1030
Siglufjörður,IS,SIJ,66.133301,-18.9167,10
Stykkishólmur,IS,SYK,65.05809783935547,-22.794200897216797,42
Þingeyri,IS,TEY,65.87030029296875,-23.559999465942383,65
Thorshofn,IS,THO,66.21849822998047,-15.335599899291992,65
Vestmannaeyjar,IS,VEY,63.42430114746094,-20.278900146484375,326
Vopnafjörður,IS,VPN,65.72059631347656,-14.850600242614746,16
,PG,BIZ,-5.28611111111,142.033055556,5775
Baleela Base Camp,SD,BJE,11.199444444400001,28.5230555556,1690
Bahja,OM,BJQ,19.8730555556,56.067777777799996,515
Prishtina,XK,PRN,42.5728,21.035801,1789
Bomai,PG,BMH,-6.37316666667,144.637,3300
,KE,BMQ,-3.98191,39.730768,52
Bamu,PG,BMZ,-7.8485,143.2433,50
Baranof,US,BNF,57.088799,-134.833146,0
Bodinumu,PG,BNM,-9.107777777779999,147.666722222,3700
Baganga,PH,BNQ,7.611944444440001,126.568888889,42
Bundi,PG,BNT,-5.742222222220001,145.2275,4400
Boana,PG,BNV,-6.433,146.825,2950
Banz,PG,BNZ,-5.807,144.623,5150
Rurenabaque,BO,RBQ,-14.427900314299999,-67.4968032837,676
Baures,BO,BVL,-13.583333015400001,-63.5833320618,470
Washington,US,BOF,38.842899322499996,-77.0160980225,20
Brookings,US,BOK,42.0746,-124.290001,459
Boku,PG,BOQ,-6.5427,155.3419,225
Bosset,PG,BOT,-7.237257,141.1063222,80
Boang Island,PG,BOV,-3.3834,153.2812,85
Batuna Mission Station,SB,BPF,-8.56202777778,158.119305556,24
Gustavus,US,BQV,58.4552001953,-135.884994507,0
Tucumã,BR,TUZ,-6.7488,-51.1478,1060
Alenquer,BR,ALT,-1.917,-54.7231,55
Whitesburg,US,BRG,37.2219,-82.8742,1985
Bensbach,PG,BSP,-8.85805555556,141.259444444,30
Besakoa,MG,BSV,-15.6725,47.0616666667,40
Bulolo,PG,BUL,-7.216286671410001,146.649541855,2240
Bolovip,PG,BVP,-5.3633,141.655,4990
Brava Island,CV,BVR,14.864305555600001,-24.746,64
Hukuntsi,BW,HUK,-23.9897,21.758101,3720
,PG,BWJ,-6.396944444440001,146.881666667,4700
Bewani,PG,BWP,-3.0216666666700003,141.165277778,550
Nanuya Lailai Island,FJ,BXL,-16.943,177.368,0
Bunsil - Umboi Island,PG,BXZ,-5.7243,147.8667,201
Boundary,US,BYA,64.0783004761,-141.113006592,2940
Beliyela,LR,BYL,7.36916666667,-9.99372222222,690
Colombo,LK,BYV,6.9294444444400005,79.85416666670001,17
Belmopan,BZ,BCV,17.269603,-88.776496,150
Big Creek,BZ,BGK,16.51936912536621,-88.40791320800781,3
Caye Caulker,BZ,CUK,17.734699249267578,-88.03250122070312,1
Caye Chapel,BZ,CYC,17.7007999420166,-88.04109954833984,3
Corozal,BZ,CZH,18.382200241088867,-88.41190338134766,40
Dangriga,BZ,DGA,16.98250961303711,-88.23098754882812,508
Independence,BZ,INB,16.534500122070312,-88.44129943847656,18
Melinda,BZ,MDB,17.0042991638,-88.30419921880001,101
Orange Walk,BZ,ORZ,18.0467662811,-88.58386993410001,111
Placencia,BZ,PLJ,16.536956787109375,-88.36151123046875,3
Punta Gorda,BZ,PND,16.102399826,-88.80829620360001,7
Sartaneja,BZ,SJX,18.35610008239746,-88.13079833984375,3
San Pedro,BZ,SPR,17.9139,-87.9711,4
San Ignacio,BZ,SQS,17.1859,-89.0098,199
Santa Cruz,BZ,STU,18.2721004486084,-88.456298828125,18
Silver Creek,BZ,SVK,16.725299835205078,-88.33999633789062,216
Belize City,BZ,TZA,17.516389846801758,-88.19444274902344,16
Bemolanga,MG,BZM,-17.6925,45.0888333333,950
Washington,US,BZS,38.863,-77.011,0
Blissville,CA,YYS,45.605633,-66.543678,60
Clinton Creek Mine,CA,YLM,64.475545,-140.741748,2040
,CA,YUJ,68.4753126151,-113.224411011,5
Lupin Mine,CA,YWO,65.7666702271,-111.25,1608
Prince Patrick Is.,CA,YMD,76.2392,-119.3216,30
,CA,YYI,50.010055763699995,-100.313930511,1550
RCAF Station Saglek,CA,YSV,58.475119,-62.655373,269
"Terrace Bay, ON",CA,YTJ,48.81197898719999,-87.09943771360001,950
Winisk,CA,YWN,55.2242,-85.1174,32
Big Bay,CA,YRR,50.4094474336,-125.131616592,360
,CA,YMV,71.3241666667,-79.3569444444,584
Bedwell Harbour,CA,YBW,48.75,-123.233001709,0
Tofino Harbour,CA,YTP,49.155,-125.91,0
Bronson Creek,CA,YBM,56.681098938,-131.087005615,396
,CA,ZAA,55.4667015076,-129.483001709,0
Nanaimo,CA,ZNA,49.1833000183,-123.949996948,0
Trail,CA,YZZ,49.0555992126,-117.60900116,1427
Merritt,CA,YMB,50.122798919699996,-120.747001648,2080
Whistler,CA,YWS,50.1436004639,-122.948997498,2100
Bamfield,CA,YBF,48.8333015442,-125.133003235,0
Chilko Lake,CA,CJH,51.626098632799994,-124.141998291,3850
,CA,YPT,49.623785,-124.024884,0
Ocean Falls,CA,ZOF,52.3666992188,-127.717002869,0
Courtenay,CA,YCA,49.679401397705,-124.9820022583,26
Creston,CA,CFQ,49.03689956665,-116.49800109863,2070
Anahim Lake,CA,YAA,52.45249938964844,-125.3030014038086,3635
Douglas Lake,CA,DGF,50.1654600485,-120.171273351,2770
Albian Village,CA,JHL,57.223899841299996,-111.418998718,1048
Tahsis,CA,ZTS,49.916698455799995,-126.666999817,0
Duncan,CA,DUQ,48.7545336204,-123.709702492,300
